date,DEXUSUK
2016-12-29,1.9843
2017-01-02,1.9824
2017-01-03,1.9733
2017-01-04,1.9757
2017-01-05,1.9703
2017-01-06,1.9731
2017-01-09,1.9564
2017-01-10,1.9565
2017-01-11,1.9592
2017-01-12,1.9583
2017-01-13,1.9671
2017-01-16,1.9638
2017-01-17,1.9744
2017-01-18,1.9529
2017-01-20,1.9577
2017-01-23,1.9515
2017-01-24,1.9733
2017-01-25,1.9802
2017-01-26,1.9857
2017-01-27,1.9857
2017-01-30,1.988
2017-01-31,1.9895
2017-02-01,1.9687
2017-02-02,1.9777
2017-02-03,1.9626
2017-02-06,1.9604
2017-02-07,1.942
2017-02-08,1.9473
2017-02-09,1.9486
2017-02-10,1.9622
2017-02-13,1.9618
2017-02-14,1.9708
2017-02-15,1.9613
2017-02-17,1.9511
2017-02-20,1.9405
2017-02-21,1.9614
2017-02-22,1.9668
2017-02-23,1.9668
2017-02-24,1.9747
2017-02-27,1.9923
2017-02-28,1.9879
2017-03-01,1.9864
2017-03-02,1.985
2017-03-03,1.9854
2017-03-06,1.9939
2017-03-07,2.0073
2017-03-08,2.0128
2017-03-09,2.0166
2017-03-10,2.0041
2017-03-13,2.0211
2017-03-14,2.0311
2017-03-15,2.0294
2017-03-16,2.0008
2017-03-17,2.0216
2017-03-20,1.9858
2017-03-21,1.9823
2017-03-22,1.9826
2017-03-23,1.9852
2017-03-24,1.9997
2017-03-27,2.0019
2017-03-28,2.0097
2017-03-29,1.989
2017-03-30,1.9855
2017-03-31,1.9774
2017-04-03,1.9827
2017-04-04,1.9961
2017-04-05,1.9947
2017-04-06,1.9855
2017-04-07,1.969
2017-04-10,1.9726
2017-04-11,1.9742
2017-04-12,1.9707
2017-04-13,1.9816
2017-04-14,1.9627
2017-04-17,1.9756
2017-04-18,1.9908
2017-04-19,1.9965
2017-04-20,1.9813
2017-04-21,1.9994
2017-04-24,1.9786
2017-04-25,1.9716
2017-04-26,1.9833
2017-04-27,1.9908
2017-04-28,1.9747
2017-05-01,1.9847
2017-05-02,1.9749
2017-05-03,1.9756
2017-05-04,1.9679
2017-05-05,1.9747
2017-05-08,1.9522
2017-05-09,1.9543
2017-05-10,1.9486
2017-05-11,1.9616
2017-05-12,1.947
2017-05-15,1.9451
2017-05-16,1.9488
2017-05-17,1.958
2017-05-18,1.9472
2017-05-19,1.9705
2017-05-22,1.9669
2017-05-23,1.9785
2017-05-24,1.9818
2017-05-26,1.9751
2017-05-29,1.9806
2017-05-30,1.9759
2017-05-31,1.9793
2017-06-01,1.9666
2017-06-02,1.965
2017-06-05,1.9548
